name,barcode,plate,row,col
I34710-S1,S145092,PS000610,A,1
I34711-S1,S145093,PS000610,B,1
I34712-S1,S145094,PS000610,C,1
I34713-S1,S145095,PS000610,D,1
I34714-S1,S145096,PS000610,E,1
I34715-S1,S145097,PS000610,F,1
I34716-S1,S145098,PS000610,G,1
I34717-S1,S145099,PS000610,H,1
I34718-S1,S145100,PS000610,A,2
I34719-S1,S145101,PS000610,B,2
I34720-S1,S145102,PS000610,C,2
I34721-S1,S145103,PS000610,D,2
I34722-S1,S145104,PS000610,E,2
I34723-S1,S145105,PS000610,F,2
I34724-S1,S145106,PS000610,G,2
I34725-S1,S145107,PS000610,H,2
I34726-S1,S145108,PS000610,A,3
I34727-S1,S145109,PS000610,B,3
I34728-S1,S145110,PS000610,C,3
I34729-S1,S145111,PS000610,D,3
I34730-S1,S145112,PS000610,E,3
I34731-S1,S145113,PS000610,F,3
I34732-S1,S145114,PS000610,G,3
I34733-S1,S145115,PS000610,H,3
I34734-S1,S145116,PS000610,A,4
I34735-S1,S145117,PS000610,B,4
I34736-S1,S145118,PS000610,C,4
I34737-S1,S145119,PS000610,D,4
I34738-S1,S145120,PS000610,E,4
I34739-S1,S145121,PS000610,F,4
I34740-S1,S145122,PS000610,G,4
I34741-S1,S145123,PS000610,H,4
I34742-S1,S145124,PS000610,A,5
I34743-S1,S145125,PS000610,B,5
I34744-S1,S145126,PS000610,C,5
I34745-S1,S145127,PS000610,D,5
I34746-S1,S145128,PS000610,E,5
I34747-S1,S145129,PS000610,F,5
I34748-S1,S145130,PS000610,G,5
I34749-S1,S145131,PS000610,H,5
I34750-S1,S145132,PS000610,A,6
I34751-S1,S145133,PS000610,B,6
I34752-S1,S145134,PS000610,C,6
I34753-S1,S145135,PS000610,D,6
I34754-S1,S145136,PS000610,E,6
I34755-S1,S145137,PS000610,F,6
I34756-S1,S145138,PS000610,G,6
I34757-S1,S145139,PS000610,H,6
I34758-S1,S145140,PS000610,A,7
I34759-S1,S145141,PS000610,B,7
I34760-S1,S145142,PS000610,C,7
I34761-S1,S145143,PS000610,D,7
I34762-S1,S145144,PS000610,E,7
I34763-S1,S145145,PS000610,F,7
I34764-S1,S145146,PS000610,G,7
I34765-S1,S145147,PS000610,H,7
I34766-S1,S145148,PS000610,A,8
I34767-S1,S145149,PS000610,B,8
I34768-S1,S145150,PS000610,C,8
I34769-S1,S145151,PS000610,D,8
I34770-S1,S145152,PS000610,E,8
I34771-S1,S145153,PS000610,F,8
I34772-S1,S145154,PS000610,G,8
I34773-S1,S145155,PS000610,H,8
I34774-S1,S145156,PS000610,A,9
I34775-S1,S145157,PS000610,B,9
I34776-S1,S145158,PS000610,C,9
I34777-S1,S145159,PS000610,D,9
I34778-S1,S145160,PS000610,E,9
I34779-S1,S145161,PS000610,F,9
I34780-S1,S145162,PS000610,G,9
I34781-S1,S145163,PS000610,H,9
I34782-S1,S145164,PS000610,A,10
I34783-S1,S145165,PS000610,B,10
I34784-S1,S145166,PS000610,C,10
I34785-S1,S145167,PS000610,D,10
I34786-S1,S145168,PS000610,E,10
I34787-S1,S145169,PS000610,F,10
I34788-S1,S145170,PS000610,G,10
I34789-S1,S145171,PS000610,H,10
I34790-S1,S145172,PS000610,A,11
I34791-S1,S145173,PS000610,B,11
I34792-S1,S145174,PS000610,C,11
I34793-S1,S145175,PS000610,D,11
I34794-S1,S145176,PS000610,E,11
I34795-S1,S145177,PS000610,F,11
I34796-S1,S145178,PS000610,G,11
I34797-S1,S145179,PS000610,H,11
I34798-S1,S145180,PS000610,A,12
I34799-S1,S145181,PS000610,B,12